file_path,category_id
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Hi-Hat.wav,0
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boom Hat(6).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Single Open Hat.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Full Open Hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/TAX - Metro HH.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YK - Metro HH (Hats)_4.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/BOOMIN HAT 2.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hi Hat [ Garden ].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Open-Hat - [Metro].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Hi Hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/oh_metro.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/metro overused hh.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YM Hi-hat 3.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Openhats [Perfect].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Father Stretch My Hands_Hi Hat.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boom Hat (2).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hi-hat 2.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Open Hat 2 [ advanced ].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/$umeenk - Metro HH (Hats).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/hihat (On Time).wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/HiHat.wav,0
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boomin - Hat Open #09.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/BWB THE WAVE HAT (4).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro CL Hat 2.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hat 3.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YK - Metro HH (Hats)_5.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hihat (1).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/openhat tmog luger metro lab.wav,6
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boomin - Hat Open #10.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YM Hi-hat 4.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/BWB WAVE 3 HI HAT (15).wav,3
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/SMII - BEAST HI-HAT - CLOSED .wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MBHit 2.wav,2
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MetroBoominHiHat_9.wav,0
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boomin - Hat Open #06.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/X HiHat.wav,6
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hi Hat (18).wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boomin - Hat Closer #12.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/OH - metro.wav,5
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/DRIV3N HIHAT (21).wav,6
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hit 1.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/SMII - METRO!!!! HI-HAT - CLOSED.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hi-Hat 4 [ on the low ].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Hats [Shake].wav,5
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/BOOMIN HAT 1.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/No Advcance Hit.wav,0
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/without warning offset open hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Open Hat (7).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/OPEN HAT.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/open hat (Creepin).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/SB6 Hihat (2).wav,0
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Dark Open Hat.wav,5
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Boomin - Hat Open #07.wav,3
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hi Hat (13).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/LEX Hat(4).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hi Hat (15).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/VOLO Ammo Crate hat 3.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/DXL OH (12).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YM Open Hat 5.wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Percs (3).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/DMV3_Hi Hat 7.wav,3
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Tay Keith Open Hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/open hat (Too Many Nights).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Sizz OH.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hat Open_21.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/[ACD] - Lex Hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YM Sizzle Hi-hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Hats [Nice].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hi Hat (9).wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YK - Metro HH (Hats)_2.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Boomin Open Hat 1.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/West MetroHihat (3).wav,5
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Open Hat 1 [ basic ].wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro CL Hat 3 - Tempo 120.0_3.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/DT - Metro HH.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Digi OH.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/[PBS] Lex hat_2.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Open Hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hihat (4).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Classic Wonda Hi Hat.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/[PBS] Sizzle Open.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/YM Open Hat 6.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/West MetroHihat (11).wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Hihat 5.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hi Hat (12).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro Hat 5.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/HiHat (93).wav,1
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/Metro OH4.wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/hihat (Walk Em Down).wav,4
./my_drum_kits/Fresh's Metro Boomin (Off The Rip) Drum Kit/Hats/MB Hi Hat (25).wav,4
