file_path,category_id
./rock_drum_kits/Kick/04-hit Kick 3.wav,0
./rock_drum_kits/Kick/04-hit Kick 2.wav,0
./rock_drum_kits/Kick/04-hit Kick 1.wav,0
./rock_drum_kits/Tom/04-hit Tom 3 2.wav,1
./rock_drum_kits/Tom/04-hit Tom 1 1.wav,1
./rock_drum_kits/Tom/04-hit Tom 1 2.wav,1
./rock_drum_kits/Tom/04-hit Tom 3 1.wav,1
./rock_drum_kits/Tom/04-hit Tom 2 1.wav,1
./rock_drum_kits/Tom/04-hit Tom 2 2.wav,1
./rock_drum_kits/Snare/04-hit Snare 1.wav,2
./rock_drum_kits/Snare/04-hit Snare 3.wav,2
./rock_drum_kits/Snare/04-hit Snare 2.wav,2
./rock_drum_kits/Snare/04-hit Snare 4.wav,2
./rock_drum_kits/Tambourine/04-hit Tambourine 2.wav,3
./rock_drum_kits/Tambourine/04-hit Tambourine 1.wav,3
./rock_drum_kits/Hats/04-hit HiHat Closed 4.wav,4
./rock_drum_kits/Hats/04-hit HiHat Open 3.wav,4
./rock_drum_kits/Hats/04-hit HiHat Closed 3.wav,4
./rock_drum_kits/Hats/04-hit HiHat Open 1.wav,4
./rock_drum_kits/Hats/04-hit HiHat Open 2.wav,4
./rock_drum_kits/Hats/04-hit HiHat Closed 1.wav,4
./rock_drum_kits/Hats/04-hit HiHat Closed 2.wav,4
./rock_drum_kits/Ride/04-hit Ride 1.wav,5
./rock_drum_kits/Ride/04-hit Ride 2.wav,5
./rock_drum_kits/Crash/04-hit Crash 2 1.wav,6
./rock_drum_kits/Crash/04-hit Crash 2 2.wav,6
./rock_drum_kits/Crash/04-hit Crash 1 1.wav,6
./rock_drum_kits/Crash/04-hit Crash 1 2.wav,6
